grower_code,grower_name,father_name,village,phone,bank_account,ifsc,land_acres,cane_variety
G0500458,Mahendra Lodhi,SHIWKUMAR TIWARI,PIPPARIYA,+919307848764,,PUNB0223400,17.20,CO-86032
G0500307,TULSIRAM MISHRA, CHHOTELAL KUSHWAHA ,DUDHWARA,9491969640,295962120830,BARB0NARSIN,8.92,CO-86032
G0500184,VISHWAKARMA RADHESHYAM,Suresh Vishwakarma,CHEENKI,09897602222,867039257509,BARB0NARSIN,1.25,COJN-86-141
G0500063, GIRDHARI KUSHWAHA ,CHOUDHARY SOHAN,SIGHODI,09329808453,468323883101,MAHB0001204,17.01,CO-98014
G0500497, NARAYAN PATHAK ,MOHAN JAT,KUKWADA,9765455243,161501274928,CNRB0003398,16.49,CO-98014
G0500460,NANDKISHORE  J,TULSIRAM YADAV,KARHAIYA,96573 40029,277148959484,UBIN0812345,17.88,COJN-86-141
G0500139,PARSRAM  BHARGAVA,RAMESH RAJPUT,GADARIA,908-458-9771,414280836735,PUNB0223400,6.27,CO-86032
G0500027,BHAGWAN PATHAK,KAILASH MISHRA,KHAMARIYA,9270453457,769152460195,CNRB0003398,14.22,CO-86032
G0500365,JAGDISH  VISHWAKARMA,SHIVKUMAR KOURAV,CHINKI,,1717 3119 9176,BARB0NARSIN,12.86,COJN-86-141
G0500192,BALKISHAN THAKUR,NANDKISHORE K,CHEENKI,91379 08368,749285310646,BARB0NARSIN,9.55,CO-86032
G0500107,GOVIND TIWARI,PRAKASH DUBEY,GADARIA,9884453684,993674932828,MAHB0001204,0.77,COJN-86-141
G0500200,Jagdish P,NARAYAN MISHRA,KHAMARIA,9264059252,,PUNB0223400,11.77,CO-86032
G0500017,KOURAV LAKHAN,Mohan Mishra,PIPPARIYA,,663062611695,UBIN0812345,8.57,CO-86032
G0500083,Sohan Dubey,RAGHUVEER DUBEY,MURLI PAUDI,9360039504,900535454595,SBIN0004512,7.40,COJN-86-141
G0500123,KAILASH LODHI,HARIRAM KUSWAHA,BARKHERA,+919487593445,091900294819,UBIN0812345,15.64,CO-86032
G0500199,OMPRAKASH MISHRA,Naraian Thakur,KHAMRIYA,962-553-4883,194472010239,CNRB0003398,2.87,CO-98014
G0500064,PARSRAM GOUR,RAMESH DUBEY,MEHGAON,,523335107078,CNRB0003398,14.14,CO-0238
G0500178,Shivkumar  Ahirwar,SITARAM DUBEY,CHEENKI,9381339692,,BARB0NARSIN,7.23,CO-0238
G0500476,MOHAN YADAV, Govind Patel ,KARHAIA,9657778764,,MAHB0001204,6.93,CO-05011
G0500047,SAMPATLAL MISHRA,Omprakash Kourav,KARHAIA,9108651702,264079593718,BARB0NARSIN,6.16,CO-98014
G0500360,Shivkumar Sen,Nandkishore Ahirwar,KESALI,,767850647599,PUNB0223400,12.93,CO-0238
G0500044,NARAYAN PATHAK, BABULAL SEN ,MEHGAON,91241 49306,535166934815,CNRB0003398,10.38,CO-86032
G0500198,Mahendra Parihar,HARIRAM DUBEI,KARHAIYA,+919699692185,922638001191,MAHB0001204,5.17,CO-86032
G0500408,CHHOTELAL SEN,Parsram  Mishra,JALLAPUR,+919220146222,919286485626,PUNB0223400,13.25,COJN-86-141
G0500113, Jagdish Vishwakarma ,AMARSINGH YADAV,BARKHEDA (SINGHPUR),9671065339,657852614644,BARB0NARSIN,13.44,CO-86032
G0500411,BRIJMOHAN KIRAR,GANESH  DUBEY,BELKHEDA,9125675201,871798495648,MAHB0001204,6.23,CO-98014
G0500253,BABULAL  SAHU,AMARSINGH  THAKUR,BARKHERA,982-443-5200,3231 7804 8517,MAHB0001204,6.85,COJN-86-141
G0500492,Amarsingh Parihar, BRIJMOHAN  THAKUR ,SIGODHI,,,MAHB0001204,10.52,CO-86032
G0500208,BALKISHAN KUSHWAHA,Girdhari Choudhari,GORAKPUR,9642686701,904037406661,SBIN0004512,15.57,CO-86032
