grower_code,grower_name,father_name,village,phone,bank_account,ifsc,land_acres,cane_variety
L001372,SURESH RAJPUT,PHOOLCHAND PARIHAR,SIGHODI,9753925716,651426196252,CNRB0003398,16.06,COJN-86-141
L001435,OMPRAKASH TIWARI,,JALAPUR,936-208-6637,6233 5483 3714,SBIN0004512,15.79,COJN-86-141
L001106,MOHAN AHIRWAR,Lodhi Tulsiram,MEHAGAON,09116480652,,,9.56,CO-86032
L001322,Ramesh Gour,SURESH S,KESALI,09242095662,759798045717,CNRB0003398,14.97,CO-0238
L001085,SHIVKUMAR PATHAK,RAJES MISRA,JALAPUR,,029682208195,UBIN0812345,1.43,CO-0238
L001349,RAMESH BHARGAVA,BALKISHAN LODHI,KESLI,9574847376,5814 6562 8330,CNRB0003398,11.21,CO-98014
L001336,Phoolchand Kushwaha,GANESH LODHI,BACHHAI,+919160220045,,PUNB0223400,3.85,CO-05011
L001214,NARAYAN KIRAR,DINESH KOURAV,SIGODHI,9323127182,972682512768,SBIN0004512,5.67,CO-05011
L001423,RAJESH YADAV,AMARSINGH  MISHRA,MEHAGAON,,,MAHB0001204,13.68,CO-05011
L001328,PRAKASH BHARGAVA,BABULAL MISHRA,MEHGAON,91582 50205,330861208500,MAHB0001204,7.13,CO-98014
L001004, MUKESH PATHAK ,AMARSINGH PATHAK,GADARIYA,,997528820018,BARB0NARSIN,13.62,CO-86032
L001298,Narayan  Vishwakarma, RAMESH GOUR ,BACHHAI,9148703053,566147320677,PUNB0223400,16.79,CO-0238
L001166,Brijmohan Lodhi,GOVIND PATHAK,BACHAI KALAN,9766735645,5263 0218 8842,BARB0NARSIN,15.80,CO-98014
L001102,AMARSINGH THAKUR,GOVIND SAHU,KUKWARA,9483246031,3757 8587 0956,BARB0NARSIN,4.17,COJN-86-141
L001153,PARSRAM YADAV,AMARSINGH JAT,BHALPANEE,970-800-6146,545374734588,MAHB0001204,16.68,CO-86032
L001310,PREMLAL THAKUR,MAHENDRA PARIHAR,GADARIA,999-893-9083,5423 3954 0540,PUNB0223400,9.78,CO-98014
L001477,MADANLAL PATEL,,PIPPARIYA,9225440966,680518029492,,14.06,CO-0238
L001483,SITARAM L,OMPRAKASH KUSHWAHA,KESLI,9140526569,886554207772,,5.48,CO-86032
L986798, GANESH KUSHWAHA ,RAJESH RAJPUT,KUKWADA,9153693764,786169427095,PUNB0223400,15.47,CO-0238
L001173,OMPRAKASH LODHI,KAILAS DUBEI,GADARIYAKHEDA,9588835909,272609046288,SBIN0004512,10.93,CO-0238
L001217,PARSRAM  BHARGAVA,MISHRA SOHAN,BANDOLE,+919557246891,3057 5101 6282,CNRB0003398,13.93,COJN-86-141
L001445,JAGDISH SAHU, HARIRAM  MISHRA ,BARKHEDA,+919145944681,198673759114,PUNB0223400,13.24,CO-98014
L001293,SURESH KOURAV,PRAKAS RAJPUT,KESLI,,730186529103,UBIN0812345,5.72,CO-98014
L001289,AMARSINGH THAKUR,SHIVKUMAR  GOUR,KARHAIYA,09226557157,2084 9599 7092,PUNB0223400,12.68,CO-05011
L001208,BALKISHAN KUSHWAHA,GIRDHARI CHOUDHARY,GORAKPUR,9642686701,904037406661,SBIN0004512,15.57,CO-86032
L001064,PARSRAM GOUR,DUBEY RAMESH,MEHAGAON,9660132822,523335107078,CNRB0003398,14.14,CO-0238
L001334,BALKISHAN JAT,GIRDHARI SAHU,KHAMRIYA,937-026-2485,,PUNB0223400,14.40,CO-05011
L001056,MISHRA CHHOTELAL,Bhagwan Pathak,SIGHODI,9658662666,203984963311,MAHB0001204,15.25,CO-0238
L001247,PHOOLCHAND MISHRA,OMPRAKASH PATHAK,MEHGAON,90912 25642,,CNRB0003398,7.49,CO-86032
L001219,KANHAIYA M,GOWIND JAT,GADARIYAKHEDA,9526686387,740039478411,BARB0NARSIN,7.83,COJN-86-141
L001069,BHAGWAN PARIHAR,HARIRAM VISHWAKARMA,CHINKI,09415915081,153072748079,SBIN0004512,10.21,CO-0238
L001294,NARAYAN JAT,BABULAL KUSHWAHA,SIGODHI,+919955923187,284343063452,PUNB0223400,15.57,COJN-86-141
L001116, NARAYAN  SEN ,SANTOSH KIRAR,SIGODHI,956-395-0076,,SBIN0004512,6.73,CO-98014
L001035,SAMPATLAL RAJPUT,TULSIRAM  PATEL,GADARIYA,9842560634,9222 8323 9119,UBIN0812345,13.29,COJN-86-141
L001249,GANESH  KUSHWAHA,RAJESH RAJPUT,KUKWADA,9153693764,786169427095,PUNB0223400,15.47,CO-0238
L001301,BRIJMOHAN BHARGAVA,MUKESH LODHI,GORAKHPUR,9126985603,908584852675,CNRB0003398,17.08,COJN-86-141
L001019,JAGDISH L,Sohan Jat,KARHAIYA,9108620191,3274 2315 9425,BARB0NARSIN,16.19,COJN-86-141
L001032,OMPRAKAS SAHU,KANHAIYA  B,BHALPANI,95818 87633,490673490678,,2.03,COJN-86-141
L001156,Madanlal Parihar,Jagdish Thakur,BHALPANI,,,,11.62,CO-05011
L001159,Prakash Choudhary,Ganesh Kirar,BELKHEDA,+919711589290,634752245595,SBIN0004512,0.83,CO-86032
L001283,OMPRAKASH MISHRA,PARSRAM AHIRWAR,CHORAKHERA,,034223289078,PUNB0223400,10.51,CO-05011
L001246,Suresh Yadav,Mukesh D,BACHAI,9053662302,5124 6841 5955,SBIN0004512,13.15,COJN-86-141
L001303, SITARAM DUBEY ,TULSIRAM DUBEY,CHEENKI,9753691422,964224903413,BARB0NARSIN,17.69,CO-86032
L001075,BHARGAVA  PRAKASH,SAMPATLAL  SAHU,SIGODHI,97214 46627,175530631355,UBIN0812345,5.36,CO-0238
L001087,KANHAIYA P, MAHENDRA BHARGAVA ,BHALPANEE,9586694280,256599352886,SBIN0004512,11.89,COJN-86-141
L001449,GIRDHARI  BHARGAVA,DUBEY SURESH,PIPARIA,,078513372701,SBIN0004512,15.42,CO-98014
L001408,CHHOTELAL SEN,PARSRAM MISHRA,JALAPUR,9220146222,919286485626,PUNB0223400,13.25,COJN-86-141
L001323,RAMESH SAHU,GOVIND JAT,KHAMRIYA,+919152214764,953491950681,BARB0NARSIN,10.96,CO-86032
